GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
josephus,josephus,BackspaceStrings,0,79,0,12,0,12,0,8,0,2
josephus,josephus,Isbn,0,122,2,26,0,21,2,17,0,5
